Age,Gender,Body Type,Height,Weight
52,Male,Athletic,184,73
57,Female,Slim,154,49
44,Female,Average,158,55
55,Female,Slim,155,54
57,Male,Heavy,182,99
19,Female,Heavy,168,81
37,Male,Average,176,66
38,Female,Slim,152,60
48,Male,Slim,175,53
53,Male,Slim,165,57
30,Female,Slim,167,47
27,Female,Average,156,48
43,Male,Heavy,182,91
55,Female,Average,159,54
28,Female,Heavy,157,84
19,Female,Slim,161,53
45,Male,Athletic,172,73
57,Male,Athletic,175,70
54,Female,Average,164,52
51,Male,Heavy,175,92
52,Female,Average,162,52
50,Male,Average,180,70
60,Female,Athletic,166,69
34,Male,Average,172,76
29,Female,Heavy,163,90
24,Female,Heavy,165,79
38,Female,Athletic,160,64
51,Male,Slim,171,51
54,Female,Slim,151,55
55,Male,Average,175,74
53,Female,Athletic,159,68
46,Male,Heavy,176,98
51,Female,Slim,161,51
25,Male,Average,179,64
58,Male,Slim,175,52
20,Male,Heavy,183,87
42,Female,Slim,156,51
34,Male,Slim,163,52
60,Female,Slim,159,51
56,Male,Average,171,59
18,Male,Average,169,63
52,Male,Heavy,179,75
18,Male,Heavy,178,87
45,Male,Slim,161,55
29,Female,Slim,156,51
44,Female,Heavy,164,92
25,Female,Athletic,164,54
49,Female,Athletic,176,60
34,Female,Athletic,166,61
42,Female,Athletic,162,63
60,Female,Heavy,160,84
24,Male,Slim,164,77
51,Female,Average,157,48
28,Male,Athletic,178,72
49,Male,Heavy,179,87
26,Male,Heavy,174,90
46,Male,Slim,170,53
59,Male,Average,175,58
37,Male,Athletic,170,67
29,Male,Athletic,182,63
60,Female,Heavy,170,79
30,Male,Athletic,167,73
33,Male,Athletic,179,66
43,Male,Heavy,175,71
41,Male,Slim,169,53
42,Male,Athletic,175,79
18,Male,Heavy,177,101
56,Female,Slim,159,56
30,Male,Athletic,186,74
25,Female,Athletic,163,55
36,Female,Athletic,163,68
59,Female,Slim,154,50
57,Male,Slim,174,55
32,Female,Heavy,149,82
35,Male,Average,167,64
26,Male,Average,180,72
23,Female,Average,157,56
55,Male,Heavy,168,93
59,Female,Heavy,160,85
51,Female,Heavy,159,97
36,Female,Athletic,168,48
52,Male,Average,166,65
19,Male,Slim,169,44
18,Female,Slim,169,52
54,Male,Slim,172,66
46,Male,Athletic,177,69
20,Male,Heavy,176,95
29,Male,Athletic,172,74
58,Female,Heavy,158,74
56,Female,Average,159,57
26,Female,Slim,163,43
28,Female,Slim,166,44
45,Male,Slim,164,53
49,Female,Slim,156,61
45,Male,Average,181,69
45,Male,Athletic,165,60
26,Male,Athletic,176,74
49,Female,Athletic,170,67
27,Male,Slim,173,54
48,Male,Slim,162,61
27,Female,Heavy,165,85
27,Female,Slim,163,54
27,Female,Average,170,62
47,Female,Heavy,161,78
21,Male,Athletic,177,74
59,Male,Average,161,54
50,Male,Average,177,70
33,Female,Average,162,48
40,Female,Average,162,53
59,Female,Average,166,53
30,Male,Average,172,78
49,Female,Average,162,52
43,Female,Average,157,60
27,Male,Average,166,66
54,Male,Athletic,174,83
57,Male,Average,172,71
60,Male,Athletic,185,76
25,Female,Average,156,54
30,Female,Heavy,165,85
29,Female,Athletic,160,61
19,Male,Slim,181,66
29,Male,Heavy,184,97
19,Male,Heavy,173,73
31,Female,Heavy,154,87
45,Male,Average,176,70
45,Male,Athletic,174,72
28,Male,Slim,173,57
43,Male,Slim,166,64
56,Female,Heavy,168,88
28,Male,Slim,172,60
57,Male,Heavy,176,95
20,Male,Athletic,176,71
47,Male,Heavy,182,92
30,Female,Average,162,51
32,Female,Heavy,158,77
26,Male,Heavy,177,87
22,Male,Average,167,70
48,Female,Average,157,61
40,Female,Athletic,167,59
54,Male,Slim,169,62
49,Female,Slim,155,46
21,Male,Athletic,162,70
52,Female,Heavy,167,84
38,Male,Heavy,182,91
38,Female,Heavy,163,71
40,Male,Heavy,176,104
40,Female,Slim,157,48
42,Male,Heavy,184,93
40,Female,Heavy,170,70
33,Male,Slim,168,69
31,Male,Slim,167,60
50,Female,Average,162,57
33,Female,Average,163,56
32,Male,Heavy,188,96
51,Male,Athletic,178,71
26,Female,Average,161,59
49,Female,Athletic,166,62
56,Male,Athletic,173,70
47,Female,Average,157,54
43,Female,Heavy,150,83
51,Female,Slim,165,44
22,Female,Slim,162,50
59,Female,Athletic,160,65
20,Female,Slim,153,56
41,Female,Heavy,155,83
28,Male,Slim,167,63
58,Male,Average,176,59
42,Male,Slim,167,60
39,Female,Heavy,157,84
59,Male,Athletic,177,74
41,Female,Athletic,164,63
44,Female,Slim,158,42
37,Female,Athletic,163,70
36,Male,Athletic,179,74
22,Male,Average,176,65
53,Male,Athletic,163,68
51,Female,Slim,171,49
32,Female,Athletic,156,59
19,Female,Slim,158,52
35,Male,Average,175,65
25,Female,Slim,147,50
26,Male,Average,171,67
38,Female,Heavy,159,73
46,Male,Heavy,171,98
28,Male,Average,168,73
40,Female,Heavy,153,86
49,Female,Athletic,168,62
37,Male,Heavy,179,80
49,Male,Average,165,66
50,Female,Athletic,167,66
40,Female,Slim,160,46
54,Female,Slim,164,49
27,Female,Athletic,164,65
32,Male,Slim,174,48
27,Female,Average,161,60
35,Female,Average,163,55
45,Female,Slim,167,52
59,Male,Average,179,66
44,Female,Heavy,166,80
21,Female,Heavy,164,85
55,Female,Heavy,155,80
42,Female,Slim,158,52
39,Female,Slim,160,53
54,Female,Average,176,53
31,Male,Slim,166,66
45,Female,Average,163,51
42,Male,Athletic,166,67
21,Male,Average,172,74
37,Male,Slim,165,53
42,Female,Slim,152,50
49,Female,Athletic,171,67
25,Female,Heavy,151,77
57,Male,Heavy,173,92
25,Female,Average,161,51
32,Female,Athletic,169,57
46,Female,Heavy,168,70
27,Male,Average,176,66
39,Female,Average,149,50
42,Male,Slim,172,61
49,Male,Heavy,186,75
37,Male,Athletic,173,68
34,Male,Average,173,62
32,Male,Average,173,73
23,Female,Average,163,45
57,Female,Heavy,157,69
32,Male,Athletic,184,83
57,Female,Average,156,60
48,Female,Slim,154,57
30,Male,Average,174,72
58,Male,Athletic,177,69
39,Female,Athletic,173,55
37,Male,Heavy,178,92
52,Female,Heavy,155,95
48,Female,Athletic,154,60
26,Male,Heavy,177,86
24,Male,Athletic,174,76
27,Female,Slim,156,57
55,Male,Athletic,176,60
39,Male,Athletic,172,75
45,Male,Slim,177,52
41,Male,Slim,165,38
37,Female,Heavy,158,82
44,Female,Heavy,165,89
47,Male,Heavy,185,93
51,Male,Average,177,67
35,Male,Heavy,170,92
33,Male,Slim,163,56
32,Female,Heavy,157,84
57,Male,Heavy,185,105
50,Female,Average,157,52
26,Male,Heavy,176,87
37,Female,Athletic,169,72
34,Male,Average,164,72
54,Female,Heavy,156,77
44,Male,Heavy,171,86
54,Female,Athletic,166,59
51,Female,Athletic,168,67
18,Male,Slim,165,50
51,Female,Average,160,51
56,Female,Athletic,161,69
57,Female,Slim,154,46
39,Male,Slim,175,56
40,Female,Athletic,167,58
26,Male,Athletic,187,75
42,Female,Slim,160,48
41,Female,Slim,155,50
37,Female,Athletic,167,59
38,Male,Slim,175,62
22,Male,Slim,168,55
46,Female,Athletic,163,63
38,Female,Athletic,165,56
36,Male,Slim,171,58
60,Male,Slim,174,58
48,Female,Athletic,170,58
41,Female,Heavy,155,84
50,Female,Slim,175,51
48,Male,Average,172,73
39,Female,Heavy,161,89
60,Female,Heavy,166,89
60,Male,Slim,183,60
45,Female,Athletic,153,54
33,Female,Average,162,56
27,Female,Slim,168,47
46,Male,Athletic,183,70
24,Female,Average,152,62
43,Male,Slim,175,59
45,Female,Athletic,154,57
22,Male,Heavy,182,96
30,Female,Average,162,51
28,Male,Athletic,179,75
50,Male,Athletic,175,67
28,Female,Average,162,50
51,Male,Heavy,176,100
56,Male,Heavy,177,82
58,Male,Slim,176,66
53,Male,Slim,161,61
27,Male,Average,177,65
29,Female,Athletic,168,60
51,Male,Average,179,67
59,Female,Heavy,160,90
57,Male,Average,173,70
33,Female,Average,155,50
55,Female,Athletic,155,63
57,Male,Slim,167,50
52,Female,Athletic,158,58
26,Female,Average,159,54
44,Female,Heavy,158,96
37,Female,Slim,154,53
20,Female,Heavy,152,83
30,Male,Athletic,173,69
18,Female,Athletic,155,61
29,Female,Slim,156,56
29,Male,Athletic,179,79
59,Male,Athletic,176,73
33,Male,Athletic,176,68
28,Female,Average,153,52
31,Female,Slim,158,50
47,Male,Slim,173,61
59,Female,Slim,156,47
45,Female,Average,160,61
23,Male,Average,170,76
26,Male,Athletic,178,79
24,Female,Average,167,61
58,Female,Average,169,54
40,Female,Athletic,165,58
52,Female,Slim,159,48
22,Female,Slim,165,49
51,Female,Average,174,53
35,Male,Athletic,168,70
46,Male,Average,167,80
33,Female,Heavy,155,84
60,Female,Average,158,52
45,Male,Heavy,188,77
26,Female,Slim,166,52
54,Male,Average,176,80
22,Male,Athletic,172,80
51,Female,Athletic,165,61
49,Male,Average,173,61
54,Female,Slim,163,48
47,Male,Athletic,174,66
58,Female,Average,153,55
56,Male,Athletic,171,73
27,Female,Average,157,57
43,Female,Average,160,55
21,Male,Athletic,168,75
34,Female,Heavy,158,74
31,Male,Slim,178,53
34,Male,Average,175,60
23,Female,Athletic,165,58
24,Male,Slim,165,56
40,Male,Slim,171,58
53,Female,Athletic,161,59
56,Male,Heavy,174,83
36,Male,Average,169,60
36,Male,Athletic,176,73
41,Female,Average,158,56
50,Male,Average,169,62
51,Male,Average,171,61
45,Female,Athletic,164,59
18,Female,Slim,158,43
25,Female,Slim,161,50
19,Female,Heavy,160,76
21,Female,Slim,159,51
28,Female,Heavy,154,96
44,Male,Average,178,66
26,Female,Athletic,163,61
46,Male,Heavy,187,94
39,Female,Average,161,52
53,Female,Heavy,159,74
18,Male,Heavy,177,98
54,Male,Athletic,166,73
38,Female,Average,153,54
38,Male,Heavy,183,93
46,Male,Athletic,171,76
20,Female,Average,163,56
42,Female,Average,165,54
26,Female,Slim,153,59
53,Male,Average,164,72
46,Female,Heavy,154,74
49,Male,Slim,173,56
52,Male,Athletic,180,75
30,Male,Average,172,61
38,Female,Heavy,148,97
29,Female,Heavy,155,83
58,Female,Athletic,166,58
59,Female,Athletic,177,66
35,Female,Athletic,161,60
36,Female,Slim,166,48
43,Male,Athletic,165,69
24,Male,Slim,173,62
35,Male,Athletic,174,71
39,Female,Athletic,159,54
40,Male,Heavy,169,83
41,Male,Average,175,67
54,Male,Athletic,179,77
32,Female,Heavy,153,85
43,Male,Athletic,180,75
36,Male,Average,178,69
49,Female,Athletic,171,67
50,Female,Athletic,167,65
53,Female,Slim,154,53
54,Male,Heavy,179,90
53,Female,Heavy,160,77
58,Male,Average,177,74
44,Male,Heavy,179,105
43,Female,Heavy,155,76
45,Male,Slim,181,57
19,Female,Slim,158,54
45,Male,Heavy,176,100
47,Male,Athletic,172,64
34,Female,Heavy,162,85
33,Male,Heavy,179,85
50,Male,Average,170,68
54,Female,Average,164,60
29,Male,Average,167,71
31,Female,Athletic,164,53
20,Male,Average,168,65
52,Male,Athletic,176,81
24,Male,Slim,175,69
37,Female,Athletic,166,63
50,Male,Average,172,66
31,Male,Athletic,178,73
52,Male,Average,166,61
26,Female,Slim,156,50
25,Female,Heavy,160,79
60,Male,Slim,170,60
21,Female,Average,167,49
18,Female,Athletic,177,56
45,Male,Slim,167,51
58,Female,Athletic,165,58
56,Female,Slim,154,48
57,Female,Slim,159,55
40,Female,Slim,154,56
27,Female,Athletic,167,58
24,Female,Athletic,166,61
19,Male,Heavy,174,108
47,Male,Heavy,179,101
27,Male,Average,182,69
52,Female,Average,164,61
59,Female,Slim,150,49
39,Male,Average,176,69
54,Male,Heavy,173,90
53,Female,Average,167,53
38,Female,Athletic,166,62
20,Female,Slim,163,49
40,Female,Average,159,57
21,Male,Athletic,175,73
43,Female,Athletic,160,66
18,Female,Athletic,168,67
46,Male,Athletic,177,73
18,Female,Athletic,166,67
24,Female,Slim,158,52
52,Male,Slim,171,64
39,Male,Average,174,73
38,Female,Heavy,166,76
57,Female,Athletic,169,52
57,Male,Average,176,63
39,Female,Heavy,156,87
40,Male,Average,172,73
52,Male,Athletic,161,68
38,Male,Slim,163,56
22,Male,Heavy,179,82
24,Male,Slim,177,57
48,Female,Athletic,162,63
38,Female,Athletic,172,57
36,Male,Average,171,63
53,Female,Athletic,165,63
24,Male,Heavy,172,83
22,Female,Heavy,146,67
55,Female,Heavy,160,74
33,Female,Heavy,162,80
41,Male,Athletic,174,74
42,Female,Average,162,49
23,Female,Average,161,51
60,Male,Average,178,67
34,Male,Heavy,176,101
47,Male,Heavy,172,107
23,Male,Athletic,182,70
28,Male,Heavy,185,72
56,Male,Athletic,181,68
37,Male,Slim,170,66
55,Male,Athletic,181,69
28,Male,Average,172,67
43,Female,Slim,155,53
22,Male,Heavy,182,107
54,Female,Heavy,163,87
33,Female,Heavy,149,90
60,Female,Average,163,51
26,Male,Slim,167,58
18,Female,Athletic,165,62
19,Female,Average,161,58
31,Female,Average,161,56
24,Female,Athletic,162,64
29,Female,Average,166,58
31,Male,Athletic,173,76
44,Female,Athletic,160,56
56,Male,Athletic,171,77
22,Male,Slim,168,56
21,Female,Slim,162,49
33,Female,Average,161,62
47,Female,Athletic,160,62
38,Male,Average,171,57
41,Male,Slim,177,58
52,Female,Athletic,169,49
19,Female,Athletic,158,62
25,Male,Heavy,176,91
54,Female,Athletic,167,57
34,Male,Slim,169,63
27,Female,Average,160,48
48,Female,Slim,162,53
35,Female,Slim,160,56
44,Female,Average,171,64
30,Female,Slim,170,48
57,Female,Average,159,53
41,Male,Heavy,169,86
45,Male,Heavy,184,96
28,Male,Slim,162,65
43,Male,Slim,176,59
45,Female,Heavy,160,78
35,Female,Athletic,163,59
56,Male,Average,171,70
44,Female,Average,174,64
47,Female,Slim,157,51
46,Male,Athletic,170,72
60,Female,Average,161,46
21,Female,Athletic,167,64
32,Female,Average,168,49
35,Female,Average,172,55
32,Female,Average,151,62
38,Female,Slim,162,53
44,Male,Average,176,65
33,Female,Slim,157,48
52,Female,Heavy,166,76
55,Female,Heavy,156,85
34,Male,Athletic,174,66
29,Male,Heavy,173,79
44,Female,Athletic,168,57
50,Male,Slim,167,62
24,Female,Athletic,165,59
51,Male,Slim,162,55
45,Female,Athletic,168,58
60,Male,Average,174,72
44,Female,Slim,165,51
18,Male,Average,173,55
49,Female,Heavy,154,77
41,Male,Athletic,177,70
27,Female,Heavy,158,83
54,Female,Slim,154,48
33,Male,Average,179,73
33,Male,Athletic,175,62
48,Female,Heavy,155,70
58,Male,Slim,167,62
22,Female,Heavy,152,73
21,Female,Slim,164,57
24,Male,Athletic,181,82
51,Male,Slim,166,58
21,Male,Heavy,178,90
27,Female,Athletic,158,62
37,Male,Athletic,169,72
22,Female,Athletic,165,65
28,Female,Athletic,155,54
51,Female,Slim,174,57
33,Female,Athletic,162,64
35,Male,Average,172,71
26,Male,Slim,174,64
39,Female,Athletic,163,60
31,Male,Average,165,68
31,Male,Heavy,178,88
45,Female,Slim,162,55
60,Male,Average,170,63
60,Male,Average,178,66
58,Female,Average,155,64
21,Female,Slim,150,50
42,Male,Heavy,177,95
42,Male,Average,163,76
60,Male,Average,168,63
25,Male,Average,170,63
20,Male,Athletic,174,70
59,Male,Average,173,71
40,Female,Heavy,160,74
22,Female,Heavy,156,68
26,Female,Average,163,52
37,Male,Athletic,175,77
57,Male,Slim,173,60
53,Female,Average,160,62
46,Male,Average,173,62
23,Female,Slim,153,57
42,Female,Heavy,158,86
19,Male,Average,173,69
25,Female,Average,162,53
60,Male,Slim,166,61
41,Male,Heavy,180,98
21,Female,Average,165,61
41,Female,Athletic,160,63
51,Male,Heavy,178,77
56,Male,Athletic,183,63
54,Female,Heavy,161,91
39,Female,Athletic,165,63
53,Female,Average,163,49
38,Male,Slim,175,58
25,Female,Heavy,155,88
30,Male,Athletic,181,83
41,Male,Slim,173,49
57,Male,Average,175,73
34,Male,Average,168,72
46,Male,Heavy,185,81
53,Male,Heavy,181,101
45,Female,Athletic,161,62
25,Male,Average,179,61
22,Female,Heavy,157,83
36,Female,Heavy,150,83
24,Male,Average,178,68
60,Male,Slim,172,60
34,Male,Athletic,174,76
49,Male,Slim,161,57
25,Male,Athletic,181,66
35,Female,Athletic,170,58
44,Female,Heavy,153,82
27,Female,Slim,161,50
34,Female,Average,160,58
30,Female,Heavy,151,77
34,Male,Slim,176,63
44,Male,Heavy,174,109
57,Male,Average,170,63
58,Female,Heavy,160,75
35,Female,Average,161,60
60,Female,Athletic,165,56
31,Female,Average,163,57
42,Female,Slim,154,52
33,Male,Slim,166,62
29,Male,Slim,163,53
35,Male,Slim,169,57
36,Male,Average,169,75
34,Female,Athletic,165,67
39,Female,Slim,158,45
29,Female,Athletic,163,57
55,Female,Average,166,61
37,Female,Athletic,162,60
38,Female,Slim,152,44
27,Female,Average,154,53
21,Female,Athletic,164,67
23,Male,Average,168,65
44,Female,Average,156,62
54,Male,Athletic,168,78
21,Male,Athletic,173,67
24,Male,Athletic,180,77
50,Female,Heavy,151,78
47,Female,Average,163,63
32,Male,Slim,171,63
53,Male,Athletic,170,67
49,Female,Slim,163,45
41,Female,Average,158,57
58,Female,Athletic,169,63
48,Female,Average,162,51
44,Female,Athletic,172,61
59,Male,Slim,184,63
33,Male,Average,167,70
60,Male,Heavy,180,83
27,Male,Slim,167,56
38,Female,Heavy,158,79
59,Male,Athletic,172,66
55,Male,Athletic,176,81
51,Female,Heavy,149,73
40,Male,Athletic,172,71
49,Male,Slim,170,65
57,Male,Athletic,170,72
53,Female,Slim,169,50
34,Male,Slim,176,61
51,Male,Slim,167,67
24,Female,Average,159,52
25,Male,Athletic,179,74
50,Male,Athletic,177,76
32,Female,Average,158,54
51,Female,Slim,161,55
43,Female,Average,159,64
29,Female,Slim,160,47
21,Female,Heavy,156,78
23,Male,Athletic,176,71
30,Female,Slim,161,45
48,Female,Athletic,158,69
23,Female,Heavy,156,82
20,Female,Athletic,163,54
38,Male,Athletic,177,75
27,Female,Athletic,161,59
53,Female,Slim,159,55
34,Female,Average,168,44
53,Male,Slim,170,59
28,Male,Average,176,76
54,Female,Average,161,54
33,Female,Athletic,164,63
49,Female,Athletic,171,54
46,Female,Heavy,152,77
34,Male,Heavy,175,71
42,Male,Average,179,68
43,Female,Slim,165,49
54,Female,Athletic,161,61
60,Male,Slim,170,47
23,Male,Average,176,65
27,Male,Heavy,187,86
59,Male,Athletic,178,70
30,Male,Heavy,175,77
36,Male,Athletic,165,75
32,Female,Heavy,162,97
51,Male,Athletic,183,79
40,Male,Slim,167,62
52,Male,Slim,170,63
21,Female,Slim,155,49
40,Female,Athletic,170,68
56,Male,Heavy,181,78
52,Male,Average,175,67
30,Female,Heavy,161,87
36,Female,Slim,156,42
56,Male,Heavy,178,86
20,Female,Heavy,165,65
51,Male,Athletic,179,71
25,Male,Average,179,65
48,Male,Average,171,63
36,Male,Average,173,71
34,Female,Slim,163,44
37,Male,Athletic,177,88
58,Female,Average,165,53
40,Male,Heavy,173,92
19,Female,Average,163,50
28,Male,Slim,173,57
23,Female,Heavy,162,90
31,Female,Slim,162,46
19,Male,Heavy,175,94
59,Male,Average,173,74
26,Female,Average,158,55
37,Female,Slim,166,50
36,Male,Average,162,72
25,Male,Heavy,170,91
53,Female,Slim,156,48
55,Female,Average,164,61
53,Male,Slim,167,64
18,Female,Slim,158,43
18,Female,Heavy,159,81
59,Male,Heavy,177,104
44,Male,Heavy,174,90
43,Female,Heavy,160,70
47,Female,Average,155,56
23,Female,Slim,169,52
30,Male,Heavy,174,83
43,Female,Average,156,56
19,Male,Slim,169,59
20,Male,Average,180,74
32,Female,Athletic,167,69
22,Male,Slim,175,46
47,Male,Heavy,171,99
23,Female,Athletic,165,61
58,Female,Average,165,47
27,Male,Slim,169,58
21,Female,Heavy,164,81
53,Female,Average,163,51
52,Male,Athletic,167,73
57,Female,Heavy,153,79
51,Male,Slim,169,57
29,Male,Heavy,183,93
56,Female,Average,162,52
42,Male,Average,169,81
25,Female,Athletic,156,59
30,Female,Slim,160,55
30,Female,Slim,155,49
48,Male,Athletic,187,74
20,Male,Slim,172,54
26,Male,Slim,166,65
48,Male,Athletic,171,69
36,Male,Average,175,77
19,Female,Slim,166,50
57,Female,Athletic,161,60
59,Female,Heavy,157,71
27,Male,Slim,183,63
25,Male,Athletic,171,72
32,Male,Heavy,183,98
46,Female,Average,162,57
45,Male,Average,173,61
41,Female,Heavy,152,80
51,Male,Slim,174,62
27,Male,Average,174,71
54,Female,Slim,161,53
55,Male,Heavy,171,98
18,Male,Average,177,66
33,Female,Heavy,157,83
19,Male,Slim,174,56
54,Female,Slim,166,52
57,Female,Heavy,158,70
32,Female,Athletic,165,58
25,Male,Athletic,172,57
55,Male,Athletic,170,81
18,Female,Athletic,168,69
41,Female,Slim,154,47
57,Female,Heavy,169,74
23,Male,Slim,163,57
45,Female,Average,158,52
36,Male,Average,178,69
43,Female,Slim,152,45
32,Female,Athletic,165,65
58,Male,Average,178,70
32,Female,Heavy,163,59
18,Female,Slim,156,55
59,Male,Slim,173,58
20,Male,Slim,165,56
49,Male,Average,169,71
33,Female,Slim,159,52
18,Female,Average,152,53
58,Female,Heavy,162,86
48,Female,Heavy,155,78
30,Male,Athletic,170,80
24,Female,Average,161,46
35,Male,Slim,167,60
32,Male,Average,177,63
27,Male,Athletic,171,73
49,Female,Athletic,169,56
58,Male,Heavy,178,88
41,Female,Slim,169,43
33,Male,Average,173,71
33,Male,Slim,175,54
23,Female,Athletic,164,51
33,Male,Slim,170,61
60,Male,Heavy,173,78
60,Female,Heavy,153,82
27,Female,Slim,160,54
30,Male,Athletic,172,72
19,Male,Average,173,73
34,Female,Average,166,56
28,Female,Heavy,158,72
59,Male,Athletic,170,72
36,Male,Heavy,174,82
24,Male,Average,165,62
43,Female,Heavy,159,77
54,Male,Slim,169,59
40,Female,Slim,158,49
32,Female,Slim,160,54
38,Female,Slim,164,50
30,Female,Slim,160,63
48,Male,Average,167,76
53,Male,Athletic,170,76
38,Female,Athletic,162,68
49,Male,Average,179,62
59,Male,Athletic,176,74
53,Male,Heavy,183,89
52,Female,Slim,166,45
37,Male,Heavy,190,90
30,Male,Heavy,179,95
18,Female,Athletic,164,55
37,Male,Slim,168,48
59,Male,Heavy,183,87
44,Female,Heavy,162,87
52,Female,Athletic,171,56
45,Female,Heavy,159,65
38,Female,Slim,154,53
57,Male,Average,172,64
29,Male,Heavy,180,100
39,Female,Heavy,156,74
52,Male,Slim,171,53
50,Male,Average,176,64
43,Male,Athletic,172,73
45,Female,Slim,155,46
35,Female,Heavy,156,78
44,Female,Average,165,67
36,Female,Average,160,59
31,Female,Heavy,152,79
42,Female,Slim,175,52
42,Male,Athletic,172,70
46,Male,Slim,171,61
59,Male,Athletic,182,78
55,Male,Slim,175,65
48,Female,Average,160,55
52,Female,Average,168,55
25,Female,Average,161,50
46,Female,Athletic,161,53
29,Female,Average,161,43
34,Male,Heavy,179,80
26,Male,Slim,172,59
60,Female,Average,161,51
56,Female,Athletic,175,63
42,Female,Slim,160,54
35,Male,Average,169,74
38,Male,Athletic,183,70
21,Female,Heavy,150,78
42,Male,Athletic,175,73
60,Female,Average,165,52
30,Female,Average,163,54
39,Female,Average,155,63
35,Male,Heavy,182,92
34,Female,Slim,165,53
35,Female,Athletic,165,67
34,Female,Average,167,53
21,Male,Athletic,179,74
50,Female,Average,166,51
53,Female,Slim,161,53
33,Female,Slim,158,53
29,Female,Average,164,66
40,Female,Average,154,50
54,Male,Athletic,178,73
24,Female,Slim,159,55
35,Male,Heavy,183,96
31,Male,Slim,164,62
28,Female,Average,164,56
57,Female,Heavy,158,104
23,Male,Slim,170,57
18,Female,Slim,162,46
24,Female,Heavy,158,80
42,Male,Average,172,78
46,Male,Heavy,174,93
52,Male,Athletic,176,73
20,Male,Heavy,180,78
60,Male,Heavy,175,82
37,Male,Slim,170,61
59,Male,Athletic,174,77
56,Male,Heavy,179,84
34,Female,Average,169,61
34,Female,Heavy,162,93
39,Female,Slim,162,43
54,Female,Athletic,166,64
41,Female,Slim,150,42
27,Female,Average,155,58
27,Male,Heavy,180,93
56,Male,Athletic,170,67
32,Male,Heavy,181,103
45,Female,Heavy,156,83
41,Female,Average,165,51
31,Female,Athletic,166,56
46,Male,Athletic,172,67
48,Male,Athletic,175,76
46,Female,Average,165,46
34,Male,Athletic,179,70
42,Male,Slim,175,49
22,Female,Athletic,168,65
24,Male,Average,167,74
47,Female,Heavy,160,84
18,Male,Average,164,71
